iid,pid,match,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
3,18,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,19,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,20,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
4,11,0,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,12,0,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,13,0,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,14,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,15,0,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,16,0,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,17,0,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,18,0,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,19,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,20,0,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
5,11,0,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,12,0,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,13,0,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,14,1,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,15,0,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,16,0,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,17,0,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,18,0,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,19,1,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,20,0,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
6,11,0,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,12,0,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,13,0,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,14,1,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,15,0,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,16,0,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,17,0,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,18,0,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,19,1,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,20,0,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
7,11,0,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,12,0,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,13,0,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,14,1,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,15,0,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,16,0,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,17,0,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,18,0,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,19,1,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,20,0,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
8,11,0,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
8,12,1,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
8,13,1,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
8,14,1,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
8,15,1,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
8,16,1,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
8,17,0,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
8,18,1,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
8,19,1,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
8,20,1,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
9,11,0,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
9,12,1,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
9,13,1,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
9,14,1,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
9,15,1,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
9,16,1,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
9,17,1,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
9,18,0,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
9,19,1,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
9,20,0,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
10,11,0,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
10,12,0,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
10,13,1,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
10,14,0,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
10,15,0,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
10,16,0,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
10,17,0,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
10,18,0,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
10,19,1,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
10,20,0,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
11,1,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
11,2,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
11,3,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
11,4,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
11,5,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
11,6,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
11,7,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
11,8,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
11,9,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
11,10,0,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
12,1,0,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
12,2,0,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
12,3,0,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
12,4,0,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
12,5,0,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
12,6,0,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
12,7,0,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
12,8,1,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
12,9,1,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
12,10,0,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
13,1,1,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
13,2,0,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
13,3,0,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
13,4,0,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
13,5,0,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
13,6,0,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
13,7,0,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
13,8,1,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
13,9,1,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
13,10,1,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
14,1,1,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
14,2,1,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
14,3,0,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
14,4,1,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
14,5,1,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
14,6,1,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
14,7,1,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
14,8,1,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
14,9,1,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
14,10,0,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
15,1,1,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
15,2,0,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
15,3,0,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
15,4,0,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
15,5,0,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
15,6,0,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
15,7,0,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
15,8,1,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
15,9,1,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
15,10,0,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
16,1,0,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
16,2,0,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
16,3,0,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
16,4,0,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
16,5,0,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
16,6,0,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
16,7,0,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
16,8,1,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
16,9,1,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
16,10,0,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
17,1,0,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
17,2,0,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
17,3,0,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
17,4,0,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
17,5,0,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
17,6,0,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
17,7,0,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
17,8,0,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
17,9,1,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
17,10,0,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
18,1,0,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
18,2,0,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
18,3,0,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
18,4,0,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
18,5,0,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
18,6,0,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
18,7,0,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
18,8,1,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
18,9,0,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
18,10,0,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
19,1,1,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
19,2,1,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
19,3,0,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
19,4,1,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
19,5,1,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
19,6,1,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
19,7,1,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
19,8,1,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
19,9,1,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
19,10,1,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
20,1,0,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
20,2,0,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
20,3,0,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
20,4,0,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
20,5,0,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
20,6,0,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
20,7,0,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
20,8,1,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
20,9,0,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
20,10,0,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
21,40,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,41,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,42,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,43,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,44,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,45,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,46,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,47,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,48,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,49,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,50,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,51,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,52,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,53,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,54,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,55,0,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
22,40,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,41,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,42,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,43,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,44,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,45,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,46,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,47,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,48,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,49,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,50,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,51,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,52,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,53,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,54,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,55,0,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
23,40,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,41,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,42,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,43,1,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,44,1,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,45,1,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,46,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,47,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,48,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,49,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,50,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,51,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,52,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,53,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,54,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,55,0,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
24,40,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,41,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,42,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,43,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,44,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,45,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,46,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,47,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,48,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,49,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,50,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,51,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,52,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,53,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,54,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
24,55,0,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
25,40,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,41,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,42,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,43,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,44,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,45,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,46,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,47,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,48,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,49,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,50,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,51,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,52,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,53,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,54,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
25,55,0,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
26,40,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,41,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,42,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,43,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,44,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,45,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,46,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,47,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,48,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,49,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,50,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,51,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,52,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,53,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,54,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
26,55,0,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
27,40,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,41,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,42,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,43,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,44,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,45,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,46,1,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,47,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,48,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,49,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,50,1,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,51,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,52,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,53,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,54,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
27,55,0,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
29,40,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,41,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,42,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,43,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,44,1,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,45,1,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,46,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,47,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,48,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,49,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,50,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,51,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,52,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,53,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,54,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
29,55,0,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
30,40,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,41,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,42,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,43,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,44,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,45,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,46,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,47,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,48,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,49,1,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,50,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,51,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,52,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,53,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,54,0,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
30,55,1,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
31,40,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,41,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,42,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,43,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,44,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,45,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,46,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,47,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,48,1,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,49,1,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,50,1,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,51,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,52,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,53,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,54,0,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
31,55,1,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
32,40,0,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
32,41,0,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
32,42,0,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
32,43,0,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
32,44,0,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
